Paper	Ecoregion	BIOME	Type_of_Species	Species	WU	MUWM	CARN	DOM	HARE	SM	BIRD	REPT	FISH	ARTHR	PLANTS	OTHER	WASTE	Percentage
2011_Krofel	206	2	2	EuL	60,00		4,00	2,00	2,00	22,00	2,00				9,00			101,00
2011_Lanzski	206	2	4	Martes	1,09		0,18	0,09	0,82	38,06	11,17	0,82		16,35	31,43	0,00		100,00
2011_Majumder	97	6	1	EUGJ	31,10	5,40		1,80	10,90	40,00	3,60	7,20						100,00
2011_Majumder	97	6	2	JC	9,10	1,00		0,00	11,10	63,60	7,10	8,10						100,00
2011_Pineiro	86	2	2	WC					1,90	85,55	1,90	5,92		4,74				100,00
2012_Bakaloudis	763	1	4	Martes				2,79	0,56	10,61	10,61	6,70		31,28	28,49	7,26	1,68	100,00
2012_Borkowski	1062	1	1	EUGJ	3,14	4,52		16,44	0,00	11,67	14,93	8,78		10,54	25,47	0,00	4,52	100,00
2012_Chourasia	159	6	1	EUGJ	20,27	0,00		17,12	4,05	15,77	7,21	1,80		7,21	26,58		0,00	100,01
2012_Dowd	11	8	1	Coyote	38,90		3,10		8,30	35,70	0,20			0,20	13,90		0,30	100,60
2012_Markov	74	2	1	EUGJ					5,40	42,90	5,40	1,80		7,20	37,50			100,20
2012_Nadeem	57	5	1	EUGJ	0,70	0,70		15,20		13,80	7,50	0,70		2,10	51,00	5,50	2,80	100,00
2012_Remonti.Camino_&_Coniolo	376	2	4	Pine marten	0,00	0,93	0,00		8,34	11,12	12,97			12,97	53,66		0,00	100,00
2012_Remonti.Camino_&_Coniolo	376	2	3	RF	0,00	0,00	0,00		6,38	11,84	4,54			25,44	49,96		1,84	100,00
2012_Remonti.Valenza_&_San_Massimo	376	2	4	Pine marten	0,00	3,85	0,00		16,70	27,98	20,27			4,49	26,71		0,00	100,00
2012_Remonti.Valenza_&_San_Massimo	376	2	3	Red fox	1,24	4,84	1,25		17,52	25,07	18,73			14,67	16,05		0,64	100,00
2012_Shehzad.ANP	57	5	2	LC					0,00	62,07	25,86	10,34	1,72					100,00
2012_Shehzad.CGNP	57	5	2	LC					4,76	80,95	14,29	0,00	0,00					100,00
2012_Stoyanov	74	2	1	EUGJ	5,16		7,10	7,10	0,65	20,00	9,68	0,65	7,10	3,87	38,71			100,00
2013_Balestrieri	376	2	4	Martes		0,58			13,58	33,53	21,68			8,67	21,10	0,87		100,00
2013_Boskovic	206	2	1	EUGJ	32,61			20,65		17,75					28,99			100,00
2013_Cirovic.Averaged_Serbia	74	2	1	EUGJ	4,67		3,70	67,56	1,40	12,56	3,28	0,58			2,61		3,64	100,00
2013_Cirovic.Negotin	74	2	1	EUGJ	7,27		1,22	62,43	1,22	9,71	4,82	0,00			4,82		8,49	100,00
2013_Cirovic.Smederevo	74	2	1	EUGJ	0,00		4,72	76,36	0,80	14,94	0,80	0,00			2,39		0,00	100,00
2013_Cirovic.Surcin	74	2	1	EUGJ	3,78		3,78	69,91	0,00	18,76	0,00	0,00			3,78		0,00	100,00
2013_Cirovic.Svilajnac	74	2	1	EUGJ	5,92		3,97	66,45	0,00	17,75	3,97	0,00			1,95		0,00	100,00
2013_Cirovic.Velika_Plana	74	2	1	EUGJ	2,33		0,00	74,40	4,65	9,31	0,00	0,00			4,65		4,65	100,00
2013_Cirovic.Veliko_Gradiste	74	2	1	EUGJ	3,71		3,07	72,06	1,21	12,21	3,39	0,64			1,85		1,85	100,00
2013_Mahmood	57	5	1	EUGJ	2,92		2,92	5,11		5,47	4,74				40,15	20,07	18,61	100,00
2013_Raichev	74	2	1	EUGJ	20,25		19,82	11,16	2,97	10,61	8,73	0,46	2,46		14,98		8,68	100,12
2013_Shabbir	57	5	1	EUGJ	0,00	8,51	8,51	6,38	8,51	25,50	12,76			6,38	12,76	10,63		99,94
2014_Amroun	1127	1	1	AGW	9,26	5,83	0,39	4,85	0,58	5,76	7,39	0,52		16,19	38,72	0,58	9,91	99,98
2014_Bashir	297	6	2	LC	7,02			1,75		71,93	7,02				5,26	7,02		100,00
2014_Klare	1008	4	3	CF	0,21	0,21		1,07	3,62	49,47	7,89	0,85		20,47	13,86	2,35		100,00
2015_Bakaloudis	763	1	3	RF	3,29		5,84	0,15	5,09	6,44	3,22	1,80	0,15	34,73	30,91	1,12	7,26	100,00
2015_Lanzski	206	2	1	EUGJ	44,00		3,00			5,00	2,00	1,00	5,00	15,00	24,00		1,00	100,00
2015_Larson	1072	7	1	Coyote	1,81		20,81		12,22	31,67	9,50			6,79	14,93	2,26		100,00
2015_Larson	1072	7	3	GF	0,95		10,48		3,81	38,10	6,67			11,43	23,81	4,76		100,00
2015_Larson	1072	7	2	BC			1,96		11,76	64,71	9,80			9,80	1,96			100,00
2015_Penezic	74	2	1	EUGJ	5,80		3,00	35,20	3,10	21,90	13,90	0,90	0,40	2,80	9,40		3,50	99,90
2015_Prerna	97	6	1	EUGJ	32,11					1,54	1,23				65,12			100,00
2015_Witczuk	101	8	2	BC	9,23	31,07			23,92	18,83	3,77			2,26	10,92			100,00
2015_Witczuk	101	8	1	Coyote	6,38	31,91			31,38	22,34	3,19			0,53	4,26			100,00
